shots_on_target,key_passes,matches_played,goals
61,43,17,28
24,31,23,15
70,14,28,29
30,30,38,17
33,23,15,18
12,43,10,9
31,7,32,14
62,49,24,30
11,17,10,3
39,54,34,24
47,32,26,18
11,24,10,12
73,32,24,28
69,12,32,28
30,45,11,16
42,43,23,15
67,5,30,24
31,7,17,17
58,17,17,25
68,32,28,29
51,53,16,19
69,29,28,30
24,60,15,17
71,37,15,28
71,42,12,31
56,57,16,23
71,10,28,26
60,48,17,18
64,49,19,30
73,36,29,31
12,49,24,7
60,51,24,21
16,25,38,11
30,20,10,15
48,58,29,23
27,25,16,11
13,15,36,8
69,41,13,24
23,40,38,11
18,39,15,8
62,23,34,23
11,24,10,10
69,22,38,29
80,51,14,29
53,45,36,33
17,53,32,13
56,18,10,24
44,19,13,23
45,35,31,17
59,5,11,21
13,57,19,11
11,58,14,9
15,58,36,17
63,7,19,21
13,20,10,7
63,27,31,26
72,15,15,25
27,16,22,10
53,14,24,24
43,36,13,22
71,20,22,28
23,12,33,13
57,42,29,24
24,16,33,12
71,28,24,35
49,32,38,27
62,57,17,24
33,12,14,14
35,32,38,19
69,40,24,30
50,30,13,22
38,12,21,20
24,54,22,13
54,32,11,22
74,32,36,26
80,41,28,29
18,45,28,17
10,40,13,6
17,31,13,8
72,58,35,32
20,21,20,14
17,13,36,9
44,37,14,9
44,57,29,20
42,24,20,22
14,17,19,10
50,32,17,25
37,52,15,15
16,33,15,6
21,17,17,13
43,50,32,23
42,39,24,21
57,10,35,27
32,22,23,17
71,55,20,31
46,9,21,21
53,51,35,28
44,29,22,22
74,6,17,29
56,14,27,28
12,60,34,13
10,34,10,10
14,54,24,12
23,49,17,12
36,9,37,16
18,59,20,16
24,60,21,17
51,37,21,24
60,58,13,25
72,5,25,27
61,22,13,25
13,36,14,5
32,51,33,20
24,53,14,15
52,15,17,23
38,25,19,13
45,30,26,25
22,29,37,16
41,26,35,21
80,31,18,29
68,53,31,32
37,17,28,18
75,37,38,36
51,38,23,18
54,45,17,24
71,39,18,29
66,5,31,25
15,25,20,9
37,52,32,20
37,59,10,19
53,10,23,16
39,32,14,20
71,21,30,27
71,9,35,29
10,35,23,11
36,9,13,13
71,42,31,30
12,7,32,4
79,57,34,37
36,27,10,19
18,41,31,9
71,57,32,30
46,41,28,19
60,14,17,22
53,14,24,24
33,23,30,20
68,21,24,30
41,25,18,22
61,18,30,25
71,13,18,23
67,50,19,28
61,5,29,26
21,55,34,13
48,49,30,29
11,17,35,14
12,8,18,7
65,5,12,21
68,53,29,28
11,44,34,13
11,36,35,12
63,38,20,29
10,32,15,8
28,35,11,15
11,12,16,8
62,43,27,28
53,30,36,24
41,38,11,20
79,58,36,37
41,58,26,23
77,7,20,29
64,54,36,27
65,16,21,26
26,5,36,18
47,58,28,25
33,48,31,16
78,9,33,30
79,34,34,34
20,34,16,10
25,21,29,10
68,52,15,27
79,51,30,31
12,27,33,12
29,19,10,8
68,41,26,30
45,25,38,20
28,18,20,17
76,6,31,28
28,15,35,16
29,55,37,19
80,43,27,30
61,42,30,35
42,38,26,19
49,42,16,25
48,54,26,20
10,38,29,13
20,22,18,13
66,34,26,27
59,19,29,23
32,31,31,17
40,55,31,21
51,38,37,32
16,56,38,16
25,42,17,16
69,37,26,34
11,28,16,6
10,19,10,7
57,34,22,23
21,59,32,17
78,46,28,32
46,55,36,22
41,21,33,21
18,9,28,8
28,33,38,21
57,8,26,25
12,14,22,8
29,60,38,19
33,21,25,17
63,14,17,21
42,21,28,25
33,24,27,18
45,28,10,19
47,9,23,21
34,38,28,17
27,10,24,17
75,57,27,32
63,6,11,25
44,17,31,20
70,47,37,35
50,47,26,25
42,52,27,28
77,15,15,26
42,55,28,23
23,51,13,11
30,27,10,12
57,59,17,27
29,20,38,20
17,35,32,23
16,15,16,9
76,58,12,27
26,20,19,16
42,12,19,14
57,8,28,25
68,44,23,27
31,8,11,13
39,60,37,26
47,29,10,19
60,7,32,27
63,36,32,30
17,7,37,7
36,31,27,16
36,33,16,12
30,36,38,25
39,54,17,19
37,55,10,23
73,23,34,25
78,25,32,29
70,9,12,27
57,22,33,25
28,32,32,18
13,46,36,10
44,26,38,26
73,25,17,30
58,10,31,25
26,5,34,12
53,9,24,22
39,45,14,18
55,16,12,16
15,30,28,12
46,50,10,20
33,38,37,23
55,53,24,19
62,18,17,24
69,30,11,22
72,49,12,29
41,31,33,22
42,13,23,18
76,30,33,34
27,51,23,13
34,26,20,20
63,51,25,26
67,60,13,23
76,34,29,30
55,47,14,17
33,52,31,20
41,21,30,19
56,30,23,27
32,40,32,21
75,5,25,23
36,12,27,14
11,53,16,13
26,39,19,17
42,56,16,24
18,19,10,13
52,51,32,25
57,60,30,28
48,26,28,26
51,18,25,21
35,30,38,21
59,32,28,24
34,27,13,14
33,18,38,18
22,28,37,13
69,6,27,26
16,49,11,8
66,30,10,24
45,18,24,21
54,60,14,22
29,55,29,18
74,11,20,27
17,7,19,11
25,51,11,14
23,27,12,15
24,50,32,11
75,47,32,41
41,51,21,18
72,49,29,32
60,22,14,20
34,42,14,19
67,39,15,27
72,55,18,28
71,19,11,29
31,29,30,17
67,59,21,31
67,41,12,23
58,32,29,25
61,14,35,32
51,43,31,27
79,21,21,30
24,43,33,15
63,26,26,26
69,30,19,28
17,48,33,16
62,29,36,24
69,21,23,29
14,17,32,8
77,24,26,35
15,29,27,10
56,8,28,24
64,14,26,28
49,7,23,19
61,45,18,27
25,49,17,19
22,22,11,13
39,51,22,21
28,40,34,13
26,51,16,12
72,26,18,31
28,38,31,19
67,51,31,32
64,12,20,26
71,44,23,33
32,53,13,16
18,48,35,16
21,23,35,11
10,46,38,10
67,45,22,23
10,41,11,6
43,10,32,24
57,56,14,20
10,30,20,8
25,38,15,10
70,60,27,29
73,49,30,32
72,10,19,24
78,41,13,33
31,37,18,21
76,57,15,24
35,26,11,13
25,25,26,15
60,10,14,25
66,10,34,25
38,59,15,19
78,52,35,30
56,8,21,17
71,34,32,34
78,15,30,25
25,34,19,21
57,35,31,28
48,28,30,24
42,59,36,25
