match_id,shots_on_target,possession_pct,won
1,1,46,0
2,10,60,1
3,8,35,1
4,5,62,1
5,5,51,1
6,11,39,1
7,1,44,0
8,9,52,1
9,2,44,0
10,1,38,0
11,6,55,1
12,12,55,1
13,9,38,1
14,9,43,1
15,9,42,1
16,10,55,1
17,6,57,1
18,1,57,0
19,10,64,1
20,5,58,0
21,6,44,1
22,4,38,0
23,2,54,0
24,12,63,1
25,10,65,1
26,8,42,1
27,5,42,1
28,10,36,1
29,7,39,1
30,5,52,0
31,5,51,1
32,2,46,0
33,1,44,0
34,7,60,0
35,11,49,1
36,0,60,0
37,11,64,1
38,10,44,1
39,3,41,0
40,8,64,0
41,2,54,0
42,9,44,0
43,9,54,1
44,4,50,0
45,0,63,0
46,12,42,1
47,5,65,0
48,11,64,1
49,8,40,1
50,10,40,1
51,9,51,1
52,2,36,0
53,4,44,0
54,6,48,1
55,6,65,1
56,0,65,0
57,7,39,1
58,2,62,1
59,9,37,1
60,8,58,1
61,11,61,1
62,9,62,1
63,4,41,0
64,12,62,1
65,5,38,0
66,4,51,0
67,11,49,1
68,4,44,0
69,0,35,0
70,6,58,0
71,10,45,1
72,2,55,0
73,6,47,0
74,1,46,0
75,8,62,1
76,6,37,0
77,4,57,1
78,2,58,0
79,7,46,1
80,8,43,0
81,12,35,1
82,5,64,0
83,2,64,1
84,10,42,1
85,8,35,1
86,9,38,0
87,1,37,0
88,4,60,1
89,9,62,1
90,10,39,0
91,5,58,0
92,10,40,1
93,10,46,1
94,5,53,1
95,11,57,1
96,3,62,0
97,3,36,0
98,8,41,1
99,8,43,1
100,1,44,0
101,10,65,1
102,2,59,1
103,10,44,1
104,0,65,0
105,10,50,0
106,10,50,1
107,10,48,1
108,8,39,0
109,6,63,1
110,9,35,0
111,3,40,0
112,10,42,1
113,7,43,1
114,5,39,1
115,6,35,0
116,7,56,1
117,0,65,0
118,1,38,0
119,3,44,0
120,1,50,0
121,5,63,0
122,8,56,1
123,8,58,1
124,6,53,1
125,11,47,1
126,7,41,0
127,1,61,0
128,9,59,1
129,7,35,0
130,8,57,1
131,7,37,1
132,7,57,0
133,1,60,0
134,7,39,1
135,10,48,1
136,3,38,0
137,7,52,1
138,0,63,0
139,4,37,0
140,5,47,0
141,12,65,1
142,2,44,0
143,3,39,0
144,5,50,0
145,12,50,1
146,11,55,1
147,0,44,1
148,3,64,0
149,10,51,1
150,0,43,0
151,11,64,1
152,3,63,1
153,11,50,1
154,3,35,0
155,5,53,0
156,8,52,1
157,1,39,1
158,7,54,1
159,6,61,0
160,10,38,1
161,12,57,1
162,8,39,1
163,5,58,0
164,5,47,0
165,5,35,0
166,10,64,1
167,4,40,0
168,2,53,1
169,4,40,0
170,0,63,0
171,1,57,0
172,1,59,0
173,10,48,1
174,9,49,1
175,9,54,1
176,6,59,1
177,9,61,1
178,2,35,0
179,11,55,1
180,6,38,0
181,12,43,1
182,1,60,0
183,6,42,0
184,9,59,1
185,6,49,1
186,5,42,0
187,2,45,0
188,4,51,0
189,3,58,0
190,3,53,0
191,8,63,1
192,8,61,1
193,7,58,1
194,4,53,0
195,12,43,1
196,1,47,0
197,4,38,0
198,1,46,0
199,4,63,0
200,12,48,1
201,4,38,0
202,11,55,1
203,6,64,0
204,9,61,1
205,5,43,0
206,3,49,0
207,9,51,1
208,12,42,1
209,3,43,0
210,10,42,1
211,3,65,0
212,9,58,1
213,10,61,1
214,5,60,1
215,9,64,1
216,3,38,0
217,1,62,0
218,1,37,0
219,5,49,0
220,11,53,1
221,1,46,0
222,5,39,0
223,9,40,1
224,2,60,0
225,9,44,1
226,3,44,0
227,10,63,0
228,7,39,1
229,7,63,1
230,2,63,0
231,6,53,0
232,11,40,1
233,0,39,0
234,9,43,1
235,6,52,1
236,9,39,1
237,8,49,1
238,5,38,0
239,4,51,0
240,8,35,0
241,1,56,1
242,7,36,1
243,1,41,0
244,8,40,0
245,8,60,1
246,1,36,0
247,9,48,1
248,5,53,0
249,10,50,1
250,0,56,0
251,2,59,0
252,6,47,0
253,2,60,0
254,4,44,1
255,8,65,1
256,1,50,0
257,8,57,1
258,1,62,0
259,2,59,0
260,7,61,1
261,10,51,1
262,2,36,0
263,3,50,1
264,12,40,1
265,12,62,1
266,7,42,0
267,5,42,1
268,4,42,0
269,7,54,1
270,7,52,1
271,3,64,0
272,0,47,0
273,1,43,0
274,12,36,1
275,5,35,1
276,6,46,0
277,6,63,0
278,10,51,1
279,0,62,0
280,1,38,0
281,3,37,0
282,6,60,1
283,8,38,1
284,6,36,0
285,5,47,1
286,12,63,1
287,2,56,0
288,7,38,0
289,7,60,1
290,6,61,1
291,10,59,1
292,3,62,0
293,12,42,1
294,4,65,1
295,7,44,1
296,6,59,1
297,11,52,1
298,5,59,0
299,3,54,1
300,0,54,0
