player_id,sprint_speed_kmh,minutes_played,is_winger
1,31.0,2742,0
2,31.8,2433,1
3,31.2,2988,1
4,29.6,2639,0
5,32.5,1228,0
6,30.6,1135,1
7,29.1,1121,0
8,34.7,2797,1
9,30.9,1892,0
10,27.5,1636,0
11,30.6,2921,1
12,29.4,2009,1
13,29.8,2774,1
14,30.2,2962,1
15,35.3,698,1
16,30.0,1404,1
17,33.0,2336,1
18,28.2,2533,0
19,33.2,871,1
20,32.5,1296,0
21,31.2,1870,1
22,27.3,2498,0
23,29.6,782,0
24,32.3,2002,1
25,30.7,1241,1
26,29.3,1041,1
27,30.1,1789,0
28,31.8,1535,1
29,34.3,2089,1
30,26.9,1294,0
31,29.0,2559,0
32,33.7,695,0
33,29.4,2655,0
34,31.9,574,1
35,30.8,2340,1
36,30.0,1366,0
37,32.3,1458,1
38,34.3,547,1
39,27.6,2255,0
40,29.3,913,1
41,27.5,2148,0
42,34.5,2313,1
43,34.6,2613,1
44,29.7,2270,0
45,28.5,1254,0
46,34.1,2347,1
47,28.4,2565,0
48,29.9,1293,1
49,32.7,810,1
50,30.8,2725,1
51,31.5,869,1
52,26.3,1985,0
53,31.5,1090,0
54,30.6,815,0
55,27.7,2441,0
56,26.3,859,0
57,27.8,2176,1
58,28.0,2233,0
59,30.0,650,1
60,29.3,932,1
61,29.9,2486,1
62,30.9,1768,1
63,26.2,803,0
64,29.1,2980,1
65,29.2,1162,0
66,28.8,510,0
67,30.9,2811,1
68,29.6,541,0
69,30.2,1883,0
70,27.8,2983,0
71,31.2,1945,1
72,31.9,1962,0
73,27.3,1470,0
74,27.4,817,0
75,31.8,1932,1
76,28.7,2744,0
77,31.5,727,0
78,28.2,2701,0
79,36.0,1538,1
80,34.9,1841,1
81,30.0,913,1
82,31.8,2055,0
83,28.3,956,0
84,30.4,1183,1
85,32.1,2304,1
86,33.7,626,1
87,26.2,1618,0
88,30.1,1987,0
89,27.6,830,1
90,31.2,1237,1
91,24.7,1359,0
92,30.5,2159,1
93,29.9,2942,1
94,27.5,2591,0
95,28.3,974,1
96,28.7,545,0
97,28.5,629,0
98,29.2,1989,1
99,29.5,890,1
100,27.2,1078,0
101,36.7,2619,1
102,30.2,2685,0
103,30.8,2598,1
104,30.0,1134,0
105,34.6,2049,1
106,29.7,2027,1
107,31.1,963,1
108,32.9,1884,1
109,27.6,1813,0
110,30.8,1490,1
111,26.8,2379,0
112,29.0,2194,1
113,31.1,1832,1
114,29.6,2315,0
115,31.9,2408,1
116,30.5,1917,1
117,30.6,1169,0
118,30.3,2396,0
119,28.7,2294,0
120,27.8,2959,0
121,30.0,874,0
122,31.5,1548,1
123,30.2,2811,1
124,28.9,1786,0
125,31.3,2857,1
126,35.3,531,1
127,29.3,587,0
128,32.2,2490,1
129,30.1,1396,1
130,29.5,1801,1
131,33.6,1570,1
132,32.0,1520,1
133,24.7,2849,0
134,28.4,735,1
135,33.2,2431,1
136,27.1,2725,0
137,29.5,2144,1
138,32.6,1487,0
139,26.9,900,0
140,27.5,2207,0
141,31.0,1672,1
142,31.9,873,0
143,26.8,1399,0
144,29.4,2904,0
145,34.1,1163,1
146,26.9,946,1
147,26.7,2205,0
148,28.2,999,0
149,32.0,2800,1
150,30.5,2648,0
151,28.3,2959,1
152,25.8,2782,0
153,34.6,1109,1
154,28.0,1030,0
155,31.3,1356,0
156,30.9,1674,1
157,27.9,2700,0
158,29.6,2334,1
159,30.9,2111,1
160,33.8,2696,1
161,32.5,2115,1
162,34.6,1448,1
163,27.1,1532,0
164,29.4,1793,0
165,26.4,722,0
166,32.3,2355,1
167,27.5,2132,0
168,26.7,2328,0
169,30.3,1835,0
170,29.4,2458,0
171,27.9,2875,0
172,31.6,1925,0
173,32.9,1611,1
174,31.2,761,1
175,33.6,2447,1
176,27.9,2760,0
177,34.8,2249,1
178,28.0,2664,0
179,28.7,2653,1
180,31.4,2496,1
181,29.4,1757,1
182,24.7,749,0
183,31.9,508,0
184,32.6,1011,1
185,28.3,1577,0
186,25.5,2359,0
187,28.4,1639,0
188,28.5,557,0
189,28.7,1026,0
190,27.0,2949,0
191,33.6,2971,1
192,32.6,1443,1
193,27.4,2513,1
194,30.3,2299,0
195,31.6,2829,1
196,29.3,2719,0
197,28.4,2072,0
198,28.7,1486,0
199,30.1,2067,0
200,32.6,1298,1
201,29.3,1370,0
202,34.2,2022,1
203,32.3,1929,0
204,33.0,1953,1
205,32.0,1462,0
206,27.0,1523,0
207,33.4,525,1
208,31.9,2005,1
209,27.4,1940,0
210,32.0,2839,1
211,31.2,1761,0
212,31.2,1669,1
213,31.2,669,1
214,29.0,992,0
215,33.3,1345,1
216,28.4,1443,0
217,28.9,1407,0
218,25.9,1485,0
219,26.1,2423,0
220,30.0,827,1
221,28.1,1330,0
222,24.4,907,0
223,31.5,1269,1
224,29.5,2212,0
225,33.0,616,1
226,26.6,1349,0
227,32.5,559,1
228,35.7,2888,1
229,31.1,2318,1
230,29.8,1109,0
231,29.7,995,0
232,30.7,747,1
233,30.5,1682,0
234,33.9,2384,1
235,31.3,1961,0
236,29.2,2703,1
237,28.6,1359,1
238,28.1,1195,0
239,30.4,1695,0
240,32.4,1005,1
241,28.2,2940,0
242,29.0,964,1
243,29.6,1697,0
244,31.6,1805,1
245,30.7,642,1
246,24.9,1671,0
247,32.8,1637,1
248,27.6,1148,0
249,32.9,820,1
250,27.3,612,0
251,27.4,521,0
252,28.6,1704,0
253,31.0,724,0
254,28.6,2899,0
255,33.0,1112,1
256,28.9,2131,0
257,32.4,2184,1
258,27.2,1739,0
259,27.4,2709,0
260,33.0,776,1
261,27.9,1085,1
262,30.2,1131,0
263,29.0,838,0
264,27.3,1237,1
265,30.3,1282,1
266,32.8,2412,1
267,28.6,1254,0
268,26.8,2692,0
269,33.5,2432,1
270,33.9,2755,1
271,28.4,763,0
272,27.2,2962,0
273,28.8,2035,0
274,30.0,2956,1
275,24.9,1387,0
276,26.3,2883,0
277,27.3,1972,0
278,30.9,679,1
279,29.5,1525,0
280,30.4,844,0
281,26.9,2854,0
282,27.0,1261,0
283,29.6,1056,1
284,29.1,1882,0
285,30.0,1563,0
286,28.2,742,1
287,29.5,2542,0
288,30.4,2615,1
289,30.5,2358,1
290,30.5,2042,0
291,30.3,1506,1
292,25.0,1856,0
293,31.2,1803,1
294,31.1,913,0
295,32.2,704,1
296,33.9,1133,1
297,30.9,1636,1
298,30.7,900,0
299,32.2,766,0
300,29.9,2630,0
